date,total_equity,capital
2021-05-06,10056.08,10000.00
2021-05-07,10055.45,10000.00
2021-05-08,10054.99,10000.00
2021-05-09,10054.25,10000.00
2021-05-10,10054.22,10000.00
2021-05-11,10054.19,10000.00
2021-05-12,10053.59,10000.00
2021-05-13,10053.39,10000.00
2021-05-14,10053.37,10000.00
2021-05-15,10053.51,10000.00
2021-05-16,10053.77,10000.00
2021-05-17,10053.63,10000.00
2021-05-18,10054.01,10000.00
2021-05-19,10053.42,10000.00
2021-05-20,10053.47,10000.00
2021-05-21,10053.70,10000.00
2021-05-22,10053.34,10000.00
2021-05-23,10053.45,10000.00
2021-05-24,10053.81,10000.00
2021-05-25,10052.92,10000.00
2021-05-26,10053.07,10000.00
2021-05-27,10053.31,10000.00
2021-05-28,10053.46,10000.00
2021-05-29,10054.69,10000.00
2021-05-30,10054.34,10000.00
2021-05-31,10054.28,10000.00
2021-06-01,10053.81,10000.00
2021-06-02,10053.42,10000.00
2021-06-03,10053.83,10000.00
2021-06-04,10053.66,10000.00
2021-06-05,10053.69,10000.00
2021-06-06,10052.33,10000.00
2021-06-07,10053.83,10000.00
2021-06-08,10052.93,10000.00
2021-06-09,10053.09,10000.00
2021-06-10,10053.08,10000.00
2021-06-11,10052.41,10000.00
2021-06-12,10052.53,10000.00
2021-06-13,10052.50,10000.00
2021-06-14,10052.53,10000.00
2021-06-15,10051.70,10000.00
2021-06-16,10052.16,10000.00
2021-06-17,10052.96,10000.00
2021-06-18,10053.12,10000.00
2021-06-19,10052.93,10000.00
2021-06-20,10053.43,10000.00
2021-06-21,10054.90,10000.00
2021-06-22,10056.59,10000.00
2021-06-23,10056.48,10000.00
2021-06-24,10057.27,10000.00
2021-06-25,10057.13,10000.00
2021-06-26,10057.07,10000.00
2021-06-27,10056.87,10000.00
2021-06-28,10057.29,10000.00
2021-06-29,10056.70,10000.00
2021-06-30,10057.04,10000.00
2021-07-01,10057.08,10000.00
2021-07-02,10057.18,10000.00
2021-07-03,10057.22,10000.00
2021-07-04,10057.75,10000.00
2021-07-05,10057.36,10000.00
2021-07-06,10057.09,10000.00
2021-07-07,10056.50,10000.00
2021-07-08,10056.92,10000.00
2021-07-09,10056.88,10000.00
2021-07-10,10056.76,10000.00
2021-07-11,10057.01,10000.00
2021-07-12,10057.22,10000.00
2021-07-13,10056.97,10000.00
2021-07-14,10058.05,10000.00
2021-07-15,10056.89,10000.00
2021-07-16,10056.88,10000.00
2021-07-17,10056.82,10000.00
2021-07-18,10056.74,10000.00
2021-07-19,10056.45,10000.00
2021-07-20,10056.51,10000.00
2021-07-21,10056.40,10000.00
2021-07-22,10056.50,10000.00
2021-07-23,10056.40,10000.00
2021-07-24,10056.68,10000.00
2021-07-25,10055.77,10000.00
2021-07-26,10055.82,10000.00
2021-07-27,10055.95,10000.00
2021-07-28,10055.81,10000.00
2021-07-29,10055.91,10000.00
2021-07-30,10055.95,10000.00
2021-07-31,10055.87,10000.00
2021-08-01,10055.82,10000.00
2021-08-02,10056.34,10000.00
2021-08-03,10055.77,10000.00
2021-08-04,10055.78,10000.00
2021-08-05,10055.71,10000.00
2021-08-06,10055.67,10000.00
2021-08-07,10055.68,10000.00
2021-08-08,10055.81,10000.00
2021-08-09,10056.38,10000.00
2021-08-10,10056.18,10000.00
2021-08-11,10056.05,10000.00
2021-08-12,10056.02,10000.00
2021-08-13,10056.02,10000.00
2021-08-14,10055.89,10000.00
2021-08-15,10056.02,10000.00
2021-08-16,10055.79,10000.00
2021-08-17,10055.32,10000.00
2021-08-18,10053.20,10000.00
2021-08-19,10052.64,10000.00
2021-08-20,10052.68,10000.00
2021-08-21,10052.78,10000.00
2021-08-22,10052.73,10000.00
2021-08-23,10052.65,10000.00
2021-08-24,10053.03,10000.00
2021-08-25,10052.77,10000.00
2021-08-26,10052.66,10000.00
2021-08-27,10052.61,10000.00
2021-08-28,10052.70,10000.00
2021-08-29,10052.72,10000.00
2021-08-30,10054.31,10000.00
2021-08-31,10053.89,10000.00
2021-09-01,10052.53,10000.00
2021-09-02,10052.41,10000.00
2021-09-03,10052.47,10000.00
2021-09-04,10052.57,10000.00
2021-09-05,10052.42,10000.00
2021-09-06,10052.38,10000.00
2021-09-07,10052.36,10000.00
